# Generated by gen_wbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# W;<lo>;<hi>;<class>   Word_Break (non-Other only)
W;2DE0;2DFF;EXTEND
W;2E2F;2E2F;ALETTER
W;3000;3000;WSEGSPACE
W;3005;3005;ALETTER
W;302A;302F;EXTEND
W;3031;3035;KATAKANA
W;303B;303C;ALETTER
W;3099;309A;EXTEND
W;309B;309C;KATAKANA
W;30A0;30FA;KATAKANA
W;30FC;30FF;KATAKANA
W;3105;312F;ALETTER
W;3131;318E;ALETTER
W;31A0;31BF;ALETTER
W;31F0;31FF;KATAKANA
W;32D0;32FE;KATAKANA
W;3300;3357;KATAKANA
W;A000;A48C;ALETTER
W;A4D0;A4FD;ALETTER
W;A500;A60C;ALETTER
W;A610;A61F;ALETTER
W;A620;A629;NUMERIC
W;A62A;A62B;ALETTER
W;A640;A66E;ALETTER
W;A66F;A672;EXTEND
W;A674;A67D;EXTEND
W;A67F;A69D;ALETTER
W;A69E;A69F;EXTEND
W;A6A0;A6EF;ALETTER
W;A6F0;A6F1;EXTEND
W;A708;A7CD;ALETTER
W;A7D0;A7D1;ALETTER
W;A7D3;A7D3;ALETTER
W;A7D5;A7DC;ALETTER
W;A7F2;A801;ALETTER
W;A802;A802;EXTEND
W;A803;A805;ALETTER
W;A806;A806;EXTEND
W;A807;A80A;ALETTER
W;A80B;A80B;EXTEND
W;A80C;A822;ALETTER
W;A823;A827;EXTEND
W;A82C;A82C;EXTEND
W;A840;A873;ALETTER
W;A880;A881;EXTEND
W;A882;A8B3;ALETTER
W;A8B4;A8C5;EXTEND
W;A8D0;A8D9;NUMERIC
W;A8E0;A8F1;EXTEND
W;A8F2;A8F7;ALETTER
W;A8FB;A8FB;ALETTER
W;A8FD;A8FE;ALETTER
W;A8FF;A8FF;EXTEND
W;A900;A909;NUMERIC
W;A90A;A925;ALETTER
W;A926;A92D;EXTEND
W;A930;A946;ALETTER
W;A947;A953;EXTEND
W;A960;A97C;ALETTER
W;A980;A983;EXTEND
W;A984;A9B2;ALETTER
W;A9B3;A9C0;EXTEND
W;A9CF;A9CF;ALETTER
W;A9D0;A9D9;NUMERIC
W;A9E5;A9E5;EXTEND
W;A9F0;A9F9;NUMERIC
W;AA00;AA28;ALETTER
W;AA29;AA36;EXTEND
W;AA40;AA42;ALETTER
W;AA43;AA43;EXTEND
W;AA44;AA4B;ALETTER
W;AA4C;AA4D;EXTEND
W;AA50;AA59;NUMERIC
W;AA7B;AA7D;EXTEND
W;AAB0;AAB0;EXTEND
W;AAB2;AAB4;EXTEND
W;AAB7;AAB8;EXTEND
W;AABE;AABF;EXTEND
W;AAC1;AAC1;EXTEND
W;AAE0;AAEA;ALETTER
W;AAEB;AAEF;EXTEND
W;AAF2;AAF4;ALETTER
W;AAF5;AAF6;EXTEND
W;AB01;AB06;ALETTER
W;AB09;AB0E;ALETTER
W;AB11;AB16;ALETTER
W;AB20;AB26;ALETTER
W;AB28;AB2E;ALETTER
W;AB30;AB69;ALETTER
W;AB70;ABE2;ALETTER
W;ABE3;ABEA;EXTEND
W;ABEC;ABED;EXTEND
W;ABF0;ABF9;NUMERIC
W;AC00;D7A3;ALETTER
W;D7B0;D7C6;ALETTER
W;D7CB;D7FB;ALETTER
W;FB00;FB06;ALETTER
W;FB13;FB17;ALETTER
W;FB1D;FB1D;HEBREW_LETTER
W;FB1E;FB1E;EXTEND
W;FB1F;FB28;HEBREW_LETTER
W;FB2A;FB36;HEBREW_LETTER
W;FB38;FB3C;HEBREW_LETTER
W;FB3E;FB3E;HEBREW_LETTER
W;FB40;FB41;HEBREW_LETTER
W;FB43;FB44;HEBREW_LETTER
W;FB46;FB4F;HEBREW_LETTER
W;FB50;FBB1;ALETTER
W;FBD3;FD3D;ALETTER
W;FD50;FD8F;ALETTER
W;FD92;FDC7;ALETTER
W;FDF0;FDFB;ALETTER
W;FE00;FE0F;EXTEND
W;FE13;FE13;MIDLETTER
W;FE20;FE2F;EXTEND
W;FE33;FE34;EXTENDNUMLET
W;FE4D;FE4F;EXTENDNUMLET
W;FE50;FE50;MIDNUM
W;FE52;FE52;MIDNUMLET
W;FE54;FE54;MIDNUM
W;FE55;FE55;MIDLETTER
W;FE70;FE74;ALETTER
