# Generated by gen_gcbdata.py -- do not edit by hand.
# UCD 16.0.0 (uniseg)
#
# G;<lo>;<hi>;<class>   Grapheme_Cluster_Break (non-Other only)
# E;<lo>;<hi>           Extended_Pictographic
G;2DE0;2DFF;EXTEND
G;302A;302F;EXTEND
G;3099;309A;EXTEND
G;A66F;A672;EXTEND
G;A674;A67D;EXTEND
G;A69E;A69F;EXTEND
G;A6F0;A6F1;EXTEND
G;A802;A802;EXTEND
G;A806;A806;EXTEND
G;A80B;A80B;EXTEND
G;A823;A824;PACINGMARK
G;A825;A826;EXTEND
G;A827;A827;PACINGMARK
G;A82C;A82C;EXTEND
G;A880;A881;PACINGMARK
G;A8B4;A8C3;PACINGMARK
G;A8C4;A8C5;EXTEND
G;A8E0;A8F1;EXTEND
G;A8FF;A8FF;EXTEND
G;A926;A92D;EXTEND
G;A947;A951;EXTEND
G;A952;A952;PACINGMARK
G;A953;A953;EXTEND
G;A960;A97C;L
G;A980;A982;EXTEND
G;A983;A983;PACINGMARK
G;A9B3;A9B3;EXTEND
G;A9B4;A9B5;PACINGMARK
G;A9B6;A9B9;EXTEND
G;A9BA;A9BB;PACINGMARK
G;A9BC;A9BD;EXTEND
G;A9BE;A9BF;PACINGMARK
G;A9C0;A9C0;EXTEND
G;A9E5;A9E5;EXTEND
G;AA29;AA2E;EXTEND
G;AA2F;AA30;PACINGMARK
G;AA31;AA32;EXTEND
G;AA33;AA34;PACINGMARK
G;AA35;AA36;EXTEND
G;AA43;AA43;EXTEND
G;AA4C;AA4C;EXTEND
G;AA4D;AA4D;PACINGMARK
G;AA7C;AA7C;EXTEND
G;AAB0;AAB0;EXTEND
G;AAB2;AAB4;EXTEND
G;AAB7;AAB8;EXTEND
G;AABE;AABF;EXTEND
G;AAC1;AAC1;EXTEND
G;AAEB;AAEB;PACINGMARK
G;AAEC;AAED;EXTEND
G;AAEE;AAEF;PACINGMARK
G;AAF5;AAF5;PACINGMARK
G;AAF6;AAF6;EXTEND
G;ABE3;ABE4;PACINGMARK
G;ABE5;ABE5;EXTEND
G;ABE6;ABE7;PACINGMARK
G;ABE8;ABE8;EXTEND
G;ABE9;ABEA;PACINGMARK
G;ABEC;ABEC;PACINGMARK
G;ABED;ABED;EXTEND
G;AC00;AC00;LV
G;AC01;AC1B;LVT
G;AC1C;AC1C;LV
G;AC1D;AC37;LVT
G;AC38;AC38;LV
G;AC39;AC53;LVT
G;AC54;AC54;LV
G;AC55;AC6F;LVT
G;AC70;AC70;LV
G;AC71;AC8B;LVT
